Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure	Distribution of net interest payments as a proportion of Farm Business Income by farm tenure
	Percentage of farm businesses						
	Interest Payments as a percentage of Farm Business Income						
Farm Tenure	Interest received or no interest	Negative FBI	<5%	5%-<10%	10%-<20%	20%-<50%	50%+
Owner occupied	37	5	26	9	11	8	4
Mixed - mainly owner occupied	28	4	35	12	10	7	5
Mixed - mainly tenanted	20	3	38	13	10	5	10
Tenanted	22	12	33	10	11	9	4
Return on Capital Employed (Farm Business Income based)	Return on Capital Employed (Farm Business Income based)	Return on Capital Employed (Farm Business Income based)	Return on Capital Employed (Farm Business Income based)	Return on Capital Employed (Farm Business Income based)	Return on Capital Employed (Farm Business Income based)		
Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type	Average ROCE and median ROCE by farm type				
Farm Type	Average ROCE (FBI)(%)	95% Confidence Interval (%) (±)	Median ROCE (FBI) (%)				
Dairy	2	0	2				
LFA Grazing Livestock	0	0	-1				
Lowland Grazing Livestock	0	0	-1				
Cereals	3	0	3				
General cropping	4	1	3				
Pigs & Poultry	3	2	1				
Mixed	1	0	0				
Horticulture	2	2	-2				
Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type	Percentile values of ROCE by farm type		
	Percentile values of ROCE (FBI) (%)						
Farm Type	5%	25%	50%	75%	95%		
Dairy	-8	-1	2	4	10		
LFA Grazing Livestock	-12	-2	-1	1	7		
Lowland Grazing Livestock	-21	-2	-1	1	5		
